+----------------------------+--------------------------+-----------------------+---------------------------------------------------------------------------------------------------------+
|url_host_name               |url_host_registered_domain|url_host_private_domain|url_path                                                                                                 |
+----------------------------+--------------------------+-----------------------+---------------------------------------------------------------------------------------------------------+
|artaker.at                  |artaker.at                |artaker.at             |/unternehmen/jobskarriere/                                                                               |
|artaker.at                  |artaker.at                |artaker.at             |/unternehmen/jobskarriere/sharepointjrconsultant/                                                        |
|www.artboxone.at            |artboxone.at              |artboxone.at           |/informationen/jobs                                                                                      |
|41.41.109.100               |null                      |null                   |/cv/view_vacancy_job.php                                                                                 |
|41.41.109.100               |null                      |null                   |/cv/view_vacancy_job.php                                                                                 |
|artindustrial.at            |artindustrial.at          |artindustrial.at       |/jobs/                                                                                                   |
|103.113.180.101             |null                      |null                   |/TagManager001/template/jobcareer_detail_template001.jsp                                                 |
|artofhair.at                |artofhair.at              |artofhair.at           |/jobs/                                                                                                   |
|34.207.42.102               |null                      |null                   |/tag/auto-paint-job/                                                                                     |
|www.artopolis-raab.at       |artopolis-raab.at         |artopolis-raab.at      |/ueber/jobs/                                                                                             |
|35.194.90.104               |null                      |null                   |/careers/                                                                                                |
|a-danceclub.artra.at        |artra.at                  |artra.at               |/jobs/                                                                                                   |
|35.233.174.106              |null                      |null                   |/index.php/2020/03/12/careers-at-rtc-media/                                                              |
|35.233.174.106              |null                      |null                   |/index.php/category/careers/                                                                             |
|www.arvai-plastics.at       |arvai-plastics.at         |arvai-plastics.at      |/jobs/                                                                                                   |
|www.arvai-plastics.at       |arvai-plastics.at         |arvai-plastics.at      |/jobs/lehreausbildung/                                                                                   |
|www.arvai-plastics.at       |arvai-plastics.at         |arvai-plastics.at      |/jobs/stellenangebote/                                                                                   |
|www.arval.at                |arval.at                  |arval.at               |/de/ueber-arval/jobangebote                                                                              |
|www.arval.at                |arval.at                  |arval.at               |/de/ueber/jobangebote/salesmitarbeiter-international-business                                            |
|www.arval.at                |arval.at                  |arval.at               |/de/ueber/jobangebote/vertriebsmitarbeiter-neukunden-mwd                                                 |
|arzt-krems.at               |arzt-krems.at             |arzt-krems.at          |/jobs                                                                                                    |
|www.arztassistenz.at        |arztassistenz.at          |arztassistenz.at       |/jobs                                                                                                    |
|arztassistenz.at            |arztassistenz.at          |arztassistenz.at       |/jobs                                                                                                    |
|arztjobs.at                 |arztjobs.at               |arztjobs.at            |/fuer-arbeitgeber/post-a-job/                                                                            |
|arztjobs.at                 |arztjobs.at               |arztjobs.at            |/job-alarm-2/                                                                                            |
|arztjobs.at                 |arztjobs.at               |arztjobs.at            |/wp-content/uploads/2019/10/Datenschutzerkl%C3%A4rung-arztjobs-Jobportal-1.pdf                           |
|arztjobs.at                 |arztjobs.at               |arztjobs.at            |/wp-content/uploads/2019/12/Tarife-2020_OAZ_arztjobs.pdf                                                 |
|1.231.115.108               |null                      |null                   |/careers.do                                                                                              |
|www.arztnoe.at              |arztnoe.at                |arztnoe.at             |/jobboerse                                                                                               |
|www.arztnoe.at              |arztnoe.at                |arztnoe.at             |/jobboerse/inserat-aufgeben                                                                              |
|13.235.204.109              |null                      |null                   |/tag/career/                                                                                             |
